대학교명,학과명,대학교ID,학과ID
단국대학교,약학부,195,112
대경대학교,바이오동물과,278,90
대경대학교,반려동물과,278,92
대구가톨릭대학교,광고홍보학과,200,32
대구가톨릭대학교,교양경상학부,200,33
대구가톨릭대학교,교양공학부,200,71
대구가톨릭대학교,교양사회과학부,200,34
대구가톨릭대학교,교양생활과학부,200,81
대구가톨릭대학교,국제통상학과,200,38
대구가톨릭대학교,생명과학과,200,95
대구가톨릭대학교,생화학과,200,98
대구경북과학기술원,교양생활과학부,115,81
대구경북과학기술원,교양인문학부,115,4
대구공업대학교,건축과,228,63
대구공업대학교,경영정보과,228,22
대구공업대학교,기계과,228,78
대구공업대학교,보건행정과,228,108
대구과학대학교,건축과,33,63
대구과학대학교,경찰행정과,33,27
대구과학대학교,교양과,33,3
대구과학대학교,국방기술과,33,73
대구과학대학교,의료정보시스템과,33,120
대구대학교,교양공학부,179,71
대구대학교,교양사회과학부,179,34
대구대학교,교양인문학부,179,4
대구대학교,교양자연과학부,179,82
대구대학교,국어국문학과,179,5
대구대학교,국제관계학과,179,36
대구대학교,기계설계공학과,179,79
대구대학교,생명과학과,179,95
대구보건대학교,교양과,34,3
대구보건대학교,바이오생명정보과,34,91
대구보건대학교,반려동물과,34,92
대구보건대학교,방사선과,34,105
대구보건대학교,보건행정과,34,108
대구보건대학교,보건환경과,34,109
대구보건대학교,소방안전관리과,34,111
대구보건대학교,언어재활과,34,113
대구사이버대학교,교양사회과학부,180,34
대구사이버대학교,교양인문학부,180,4
대구사이버대학교,국제문화정보학과,180,6
대구사이버대학교,언어치료학과,180,59
대구사이버대학교,예술치료학과,180,115
대구한의대학교,관광경영학과,181,30
대구한의대학교,교양경상학부,181,33
대구한의대학교,교양공학부,181,71
대구한의대학교,교양사회과학부,181,34
대구한의대학교,교양인문학부,181,4
대구한의대학교,교양자연과학부,181,82
대구한의대학교,교육학과,181,45
대구한의대학교,국제통상학과,181,38
대구한의대학교,보건관리학과,181,107
대구한의대학교,산림자원학과,181,93
대구한의대학교,생명과학과,181,95
대덕대학교,경영정보과,227,22
대덕대학교,경찰행정과,227,27
대덕대학교,국방기술과,227,73
대덕대학교,기계과,227,78
대덕대학교,기계설계과,227,80
대덕대학교,반려동물과,227,92
대덕대학교,보건행정과,227,108
대덕대학교,의료정보시스템과,227,120
대림대학교,건축과,221,63
대림대학교,건축설비과,221,64
대림대학교,경영정보과,221,22
대림대학교,기계과,221,78
대림대학교,보건행정과,221,108
대림대학교,보건환경과,221,109
대림대학교,언어재활과,221,113
대림대학교,의료보장구과,221,118
대신대학교,교양인문학부,182,4
대원대학교,바이오생명정보과,222,91
대원대학교,방사선과,222,105
대원대학교,소방안전관리과,222,111
대전과학기술대학교,간호과,30,101
대전과학기술대학교,건축과,30,63
대전과학기술대학교,경찰행정과,30,27
대전과학기술대학교,광고기획과,30,31
대전과학기술대학교,교양과,30,3
대전과학기술대학교,기계과,30,78
대전과학기술대학교,문헌정보과,30,17
대전과학기술대학교,물리치료과,30,103
대전과학기술대학교,반려동물과,30,92
대전과학기술대학교,보건행정과,30,108
대전과학기술대학교,보건환경과,30,109
대전과학기술대학교,소방안전관리과,30,111
대전대학교,고고학과,9,1
대전대학교,광고홍보학과,9,32
대전대학교,교양인문학부,9,4
대전대학교,러시아어문학과,9,13
대전보건대학교,경영정보과,31,22
대전보건대학교,경찰행정과,31,27
대전보건대학교,교양과,31,3
대전보건대학교,문화재과,31,20
대전보건대학교,바이오생명정보과,31,91
대전보건대학교,반려동물과,31,92
대전보건대학교,방사선과,31,105
대전보건대학교,보건행정과,31,108
대전보건대학교,보건환경과,31,109
대전보건대학교,산업안전과,31,110
대전보건대학교,소방안전관리과,31,111
대전보건대학교,의료정보시스템과,31,120
대진대학교,교양인문학부,129,4
대진대학교,교육학과,129,45
덕성여자대학교,경영학과,67,24
덕성여자대학교,교양인문학부,67,4
덕성여자대학교,교양자연과학부,67,82
덕성여자대학교,교육학과,67,45
덕성여자대학교,국어교육과,67,46
덕성여자대학교,국어국문학과,67,5
덕성여자대학교,국제지역학과,67,7
덕성여자대학교,국제통상학과,67,38
덕성여자대학교,독어독문학과,67,11
덕성여자대학교,문헌정보학과,67,18
덕성여자대학교,문화인류학과,67,19
덕성여자대학교,생명공학과,67,94
덕성여자대학교,생화학과,67,98
덕성여자대학교,약학부,67,112
동강대학교,건설정보과,270,61
동강대학교,기계과,270,78
동강대학교,소방안전관리과,270,111
동국대학교,교양공학부,68,71
동국대학교,교양인문학부,68,4
동국대학교,산림자원학과,68,93
동국대학교,생명과학과,68,95
동국대학교,약학부,68,112
동국대학교 WISE캠퍼스,교양공학부,18,71
동국대학교 WISE캠퍼스,교양인문학부,18,4
동국대학교 WISE캠퍼스,교양자연과학부,18,82
동국대학교 WISE캠퍼스,보건관리학과,18,107
동국대학교 WISE캠퍼스,생명공학과,18,94
동국대학교 WISE캠퍼스,생명과학과,18,95
동남보건대학교,간호과,284,101
동남보건대학교,관광경영과,284,29
동남보건대학교,물리치료과,284,103
동남보건대학교,방사선과,284,105
동남보건대학교,보건환경과,284,109
동남보건대학교,응급구조과,284,116
동남보건대학교,의료보장구과,284,118
동덕여자대학교,경영학과,69,24
동덕여자대학교,경제학과,69,26
동덕여자대학교,교양사회과학부,69,34
동덕여자대학교,교양인문학부,69,4
동덕여자대학교,교양자연과학부,69,82
동덕여자대학교,국어국문학과,69,5
동덕여자대학교,국제지역학과,69,7
동덕여자대학교,독어독문학과,69,11
동덕여자대학교,문예창작학과,69,16
동덕여자대학교,문헌정보학과,69,18
동덕여자대학교,문화인류학과,69,19
동덕여자대학교,보건관리학과,69,107
동덕여자대학교,생화학과,69,98
동덕여자대학교,약학부,69,112
동명대학교,교양공학부,97,71
동명대학교,교양인문학부,97,4
동명대학교,국제문화정보학과,97,6
동서대학교,교양인문학부,98,4
동서대학교,국제관계학과,98,36
동서울대학교,게임콘텐츠과,40,67
동서울대학교,경영정보과,40,22
동서울대학교,교양과,40,3
동서울대학교,기계과,40,78
동아대학교,고고학과,6,1
동아대학교,산림자원학과,6,93
동아방송예술대학교,광고기획과,290,31
동아보건대학교,반려동물과,306,92
동아보건대학교,응급구조과,306,116
동양대학교,교양인문학부,183,4
동양미래대학교,건축과,225,63
동양미래대학교,경영정보과,225,22
동양미래대학교,관광경영과,225,29
동양미래대학교,기계과,225,78
동양미래대학교,기계설계과,225,80
동양미래대학교,바이오생명정보과,225,91
동양미래대학교,소방안전관리과,225,111
동원과학기술대학교,간호과,330,101
동원과학기술대학교,기계과,330,78
동원과학기술대학교,보건행정과,330,108
동원과학기술대학교,산업안전과,330,110
동원과학기술대학교,소방안전관리과,330,111
동원대학교,교양과,41,3
동원대학교,바이오동물과,41,90
동원대학교,보건환경과,41,109
동원대학교,소방안전관리과,41,111
동원대학교,의료보장구과,41,118
동의과학대학교,건축과,267,63
동의과학대학교,경영회계정보과,267,25
동의과학대학교,기계과,267,78
동의과학대학교,기계설계과,267,80
동의과학대학교,보건행정과,267,108
동의과학대학교,소방안전관리과,267,111
동의과학대학교,응급구조과,267,116
동의대학교,교양경상학부,99,33
동의대학교,교양공학부,99,71
동의대학교,교양인문학부,99,4
동의대학교,문예창작학과,99,16
두원공과대학교,간호과,42,101
두원공과대학교,건축과,42,63
두원공과대학교,건축설비과,42,64
두원공과대학교,게임콘텐츠과,42,67
두원공과대학교,교양과,42,3
두원공과대학교,기계과,42,78
두원공과대학교,기계설계과,42,80
두원공과대학교,문예창작과,42,15
두원공과대학교,보건행정과,42,108
두원공과대학교,소방안전관리과,42,111
두원공과대학교,응급구조과,42,116
두원공과대학교,의료정보시스템과,42,120
디지털서울문화예술대학교,건축공학과,254,62
