db_university,db_major,reason
경희사이버대학교,국어국문학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희사이버대학교,국제학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희사이버대학교,문예창작학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희사이버대학교,보건관리학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계명대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계명대학교,교양자연과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계명문화대학교,건축과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계명문화대학교,경영회계정보과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계명문화대학교,국제경영과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계명문화대학교,기계과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계명문화대학교,물리치료과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계명문화대학교,반려동물과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계명문화대학교,보건행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계명문화대학교,소방안전관리과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계명문화대학교,언어재활과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계명문화대학교,응급구조과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계명문화대학교,의료보장구과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계원예술대학교,건축과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계원예술대학교,게임콘텐츠과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교,가정교육과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교,건축학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교,교양자연과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교,교육학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교,국어교육과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교,국어국문학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교,독어독문학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교,러시아어문학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교,물리학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
